# Time-averaged data for fix myfile
# TimeStep v_tot_pe v_tot_vol v_tot_density
10050000 -4.49389 1091.55 0.916129
10060000 -4.58707 1091.51 0.916159
10070000 -4.608 1091.48 0.916188
10080000 -4.61072 1091.44 0.916217
10090000 -4.58565 1091.41 0.916247
10100000 -4.60949 1091.37 0.916276
10110000 -4.52075 1091.34 0.916305
10120000 -4.51108 1091.31 0.916333
10130000 -4.58651 1091.27 0.916362
10140000 -4.54606 1091.24 0.91639
10150000 -4.66957 1091.2 0.916419
10160000 -4.67726 1091.17 0.916447
10170000 -4.49338 1091.14 0.916476
10180000 -4.45208 1091.1 0.916504
10190000 -4.46877 1091.07 0.916532
10200000 -4.44776 1091.04 0.91656
10210000 -4.67776 1091 0.916588
10220000 -4.5896 1090.97 0.916615
10230000 -4.64722 1090.94 0.916642
10240000 -4.61908 1090.91 0.916669
10250000 -4.58884 1090.87 0.916696
10260000 -4.41578 1090.84 0.916722
10270000 -4.54022 1090.81 0.916748
10280000 -4.54199 1090.78 0.916774
10290000 -4.50846 1090.75 0.9168
10300000 -4.62505 1090.72 0.916825
10310000 -4.65269 1090.69 0.916851
10320000 -4.63969 1090.66 0.916877
10330000 -4.6195 1090.63 0.916902
10340000 -4.59368 1090.6 0.916927
10350000 -4.51333 1090.57 0.916952
10360000 -4.47138 1090.54 0.916976
10370000 -4.50652 1090.51 0.917001
10380000 -4.47294 1090.48 0.917025
10390000 -4.48012 1090.45 0.91705
10400000 -4.58662 1090.42 0.917074
10410000 -4.50586 1090.4 0.917098
10420000 -4.57492 1090.37 0.917122
10430000 -4.71223 1090.34 0.917146
10440000 -4.56259 1090.31 0.917169
10450000 -4.58233 1090.28 0.917193
10460000 -4.5004 1090.25 0.917217
10470000 -4.62434 1090.23 0.917241
10480000 -4.59671 1090.2 0.917265
10490000 -4.56875 1090.17 0.917289
10500000 -4.61595 1090.14 0.917313
10510000 -4.55949 1090.11 0.917336
10520000 -4.46176 1090.08 0.91736
10530000 -4.55177 1090.06 0.917383
10540000 -4.57325 1090.03 0.917407
10550000 -4.64144 1090 0.91743
10560000 -4.55997 1089.97 0.917453
10570000 -4.66882 1089.95 0.917476
10580000 -4.61626 1089.92 0.917498
10590000 -4.6091 1089.89 0.917521
10600000 -4.54169 1089.87 0.917543
10610000 -4.54183 1089.84 0.917566
10620000 -4.59845 1089.81 0.917588
10630000 -4.52424 1089.79 0.91761
10640000 -4.62491 1089.76 0.917632
10650000 -4.60488 1089.74 0.917654
10660000 -4.56516 1089.71 0.917676
10670000 -4.52867 1089.68 0.917698
10680000 -4.58365 1089.66 0.91772
10690000 -4.61398 1089.63 0.917741
10700000 -4.57419 1089.61 0.917763
10710000 -4.56766 1089.58 0.917784
10720000 -4.58501 1089.56 0.917805
10730000 -4.58723 1089.53 0.917827
10740000 -4.57842 1089.51 0.917848
10750000 -4.48636 1089.48 0.917869
10760000 -4.62449 1089.46 0.91789
10770000 -4.59047 1089.43 0.917911
10780000 -4.50485 1089.41 0.917932
10790000 -4.55163 1089.38 0.917952
10800000 -4.56699 1089.36 0.917973
10810000 -4.55276 1089.33 0.917994
10820000 -4.59714 1089.31 0.918014
10830000 -4.52109 1089.28 0.918035
10840000 -4.56831 1089.26 0.918055
10850000 -4.67372 1089.24 0.918075
10860000 -4.56719 1089.21 0.918095
10870000 -4.49249 1089.19 0.918115
10880000 -4.54002 1089.17 0.918135
10890000 -4.45608 1089.14 0.918154
10900000 -4.57976 1089.12 0.918173
10910000 -4.51243 1089.1 0.918192
10920000 -4.63858 1089.07 0.918211
10930000 -4.63719 1089.05 0.91823
10940000 -4.6251 1089.03 0.91825
10950000 -4.55796 1089.01 0.918269
10960000 -4.59483 1088.98 0.918288
10970000 -4.50944 1088.96 0.918306
10980000 -4.53203 1088.94 0.918325
10990000 -4.62244 1088.92 0.918344
11000000 -4.53582 1088.89 0.918362
11010000 -4.54565 1088.87 0.918381
11020000 -4.57039 1088.85 0.918399
11030000 -4.57844 1088.83 0.918417
11040000 -4.60221 1088.81 0.918435
11050000 -4.33028 1088.79 0.918453
11060000 -4.62558 1088.77 0.91847
11070000 -4.60691 1088.75 0.918487
11080000 -4.68838 1088.73 0.918504
11090000 -4.62089 1088.71 0.918521
11100000 -4.6768 1088.69 0.918537
11110000 -4.55885 1088.67 0.918554
11120000 -4.60861 1088.65 0.91857
11130000 -4.53376 1088.63 0.918587
11140000 -4.56984 1088.61 0.918603
11150000 -4.59916 1088.59 0.918619
11160000 -4.57553 1088.57 0.918635
11170000 -4.55308 1088.55 0.918651
11180000 -4.55175 1088.53 0.918666
11190000 -4.47578 1088.52 0.918682
11200000 -4.45897 1088.5 0.918696
11210000 -4.67852 1088.48 0.918711
11220000 -4.70229 1088.46 0.918726
11230000 -4.54103 1088.45 0.918741
11240000 -4.47141 1088.43 0.918755
11250000 -4.52754 1088.41 0.918769
11260000 -4.53752 1088.4 0.918783
11270000 -4.56456 1088.38 0.918797
11280000 -4.55182 1088.36 0.91881
11290000 -4.56722 1088.35 0.918823
11300000 -4.47747 1088.33 0.918836
11310000 -4.4173 1088.32 0.918849
11320000 -4.50737 1088.3 0.918861
11330000 -4.64511 1088.29 0.918874
11340000 -4.57015 1088.27 0.918886
11350000 -4.53777 1088.26 0.918898
11360000 -4.58078 1088.25 0.91891
11370000 -4.53798 1088.23 0.918921
11380000 -4.47912 1088.22 0.918933
11390000 -4.47668 1088.21 0.918944
11400000 -4.45989 1088.19 0.918955
11410000 -4.53195 1088.18 0.918965
11420000 -4.64226 1088.17 0.918976
11430000 -4.59896 1088.15 0.918987
11440000 -4.62516 1088.14 0.918997
11450000 -4.58752 1088.13 0.919008
11460000 -4.46845 1088.12 0.919018
11470000 -4.64714 1088.11 0.919028
11480000 -4.63949 1088.09 0.919038
11490000 -4.59703 1088.08 0.919049
11500000 -4.60412 1088.07 0.919059
11510000 -4.49381 1088.06 0.919068
11520000 -4.60794 1088.05 0.919078
11530000 -4.70115 1088.04 0.919087
11540000 -4.62534 1088.03 0.919096
11550000 -4.55224 1088.01 0.919106
11560000 -4.525 1088 0.919116
11570000 -4.5527 1087.99 0.919126
11580000 -4.63709 1087.98 0.919135
11590000 -4.78324 1087.97 0.919144
11600000 -4.69757 1087.96 0.919154
11610000 -4.59249 1087.95 0.919163
11620000 -4.59359 1087.93 0.919173
11630000 -4.50995 1087.92 0.919182
11640000 -4.54323 1087.91 0.919191
11650000 -4.52585 1087.9 0.9192
11660000 -4.64205 1087.89 0.919209
11670000 -4.53303 1087.88 0.919218
11680000 -4.5411 1087.87 0.919226
11690000 -4.53343 1087.86 0.919234
11700000 -4.5382 1087.85 0.919242
11710000 -4.55586 1087.84 0.91925
11720000 -4.59274 1087.83 0.919259
11730000 -4.69591 1087.82 0.919267
11740000 -4.59796 1087.81 0.919276
11750000 -4.59632 1087.8 0.919284
11760000 -4.61471 1087.79 0.919292
11770000 -4.53914 1087.78 0.9193
11780000 -4.41367 1087.78 0.919307
11790000 -4.51763 1087.77 0.919315
11800000 -4.58315 1087.76 0.919322
11810000 -4.60461 1087.75 0.919328
11820000 -4.62289 1087.74 0.919335
11830000 -4.61321 1087.73 0.919342
11840000 -4.54549 1087.73 0.91935
11850000 -4.56627 1087.72 0.919357
11860000 -4.45208 1087.71 0.919364
11870000 -4.46017 1087.7 0.919371
11880000 -4.53893 1087.69 0.919377
11890000 -4.59499 1087.68 0.919384
11900000 -4.64222 1087.68 0.919391
11910000 -4.67969 1087.67 0.919398
11920000 -4.56135 1087.66 0.919405
11930000 -4.48036 1087.65 0.919412
11940000 -4.4939 1087.64 0.919418
11950000 -4.54322 1087.64 0.919425
11960000 -4.47643 1087.63 0.919431
11970000 -4.58367 1087.62 0.919437
11980000 -4.65381 1087.61 0.919443
11990000 -4.5278 1087.61 0.91945
12000000 -4.58647 1087.6 0.919456
12010000 -4.48516 1087.59 0.919462
12020000 -4.66491 1087.59 0.919468
12030000 -4.54132 1087.58 0.919474
12040000 -4.6238 1087.57 0.91948
12050000 -4.5496 1087.56 0.919486
12060000 -4.5214 1087.56 0.919492
12070000 -4.61926 1087.55 0.919498
12080000 -4.68681 1087.54 0.919504
12090000 -4.62562 1087.54 0.91951
12100000 -4.65304 1087.53 0.919516
12110000 -4.58727 1087.52 0.919523
12120000 -4.47505 1087.51 0.919529
12130000 -4.55752 1087.51 0.919534
12140000 -4.55515 1087.5 0.91954
12150000 -4.50878 1087.49 0.919546
12160000 -4.62 1087.49 0.919552
12170000 -4.56075 1087.48 0.919558
12180000 -4.61107 1087.47 0.919563
12190000 -4.466 1087.47 0.919569
12200000 -4.46856 1087.46 0.919574
12210000 -4.58107 1087.45 0.919579
12220000 -4.62375 1087.45 0.919584
12230000 -4.51371 1087.44 0.919588
12240000 -4.63809 1087.44 0.919593
12250000 -4.62481 1087.43 0.919597
12260000 -4.68801 1087.43 0.919602
12270000 -4.62382 1087.42 0.919606
12280000 -4.47484 1087.42 0.919611
12290000 -4.62587 1087.41 0.919615
12300000 -4.61064 1087.41 0.91962
12310000 -4.62692 1087.4 0.919624
12320000 -4.64404 1087.4 0.919629
12330000 -4.54068 1087.39 0.919633
12340000 -4.54338 1087.38 0.919638
12350000 -4.54743 1087.38 0.919643
12360000 -4.49739 1087.37 0.919647
12370000 -4.5424 1087.37 0.919652
12380000 -4.61163 1087.36 0.919657
12390000 -4.58836 1087.36 0.919661
12400000 -4.60599 1087.35 0.919665
12410000 -4.56473 1087.35 0.919669
12420000 -4.61921 1087.34 0.919673
12430000 -4.54377 1087.34 0.919678
12440000 -4.60431 1087.33 0.919682
12450000 -4.67238 1087.33 0.919686
12460000 -4.58335 1087.32 0.919691
12470000 -4.53841 1087.32 0.919696
12480000 -4.5686 1087.31 0.9197
12490000 -4.64721 1087.31 0.919705
12500000 -4.44755 1087.3 0.91971
12510000 -4.60944 1087.29 0.919715
12520000 -4.57606 1087.29 0.919719
12530000 -4.60378 1087.28 0.919724
12540000 -4.63345 1087.28 0.919729
12550000 -4.57312 1087.27 0.919734
12560000 -4.64599 1087.27 0.919738
12570000 -4.54661 1087.26 0.919743
12580000 -4.62612 1087.26 0.919747
12590000 -4.50294 1087.25 0.919752
12600000 -4.58372 1087.24 0.919757
12610000 -4.54302 1087.24 0.919761
12620000 -4.49912 1087.23 0.919765
12630000 -4.51274 1087.23 0.91977
12640000 -4.49784 1087.22 0.919774
12650000 -4.50245 1087.22 0.919779
12660000 -4.53215 1087.21 0.919784
12670000 -4.61271 1087.21 0.919789
12680000 -4.60616 1087.2 0.919794
12690000 -4.64996 1087.19 0.919799
12700000 -4.49832 1087.19 0.919804
12710000 -4.64143 1087.18 0.919809
12720000 -4.64025 1087.18 0.919814
12730000 -4.49631 1087.17 0.919819
12740000 -4.47785 1087.16 0.919824
12750000 -4.52549 1087.16 0.919829
12760000 -4.55224 1087.15 0.919833
12770000 -4.51827 1087.15 0.919838
12780000 -4.58956 1087.14 0.919843
12790000 -4.69225 1087.14 0.919848
12800000 -4.57048 1087.13 0.919853
12810000 -4.63271 1087.12 0.919858
12820000 -4.58633 1087.12 0.919863
12830000 -4.62599 1087.11 0.919868
12840000 -4.51507 1087.11 0.919873
12850000 -4.54692 1087.1 0.919877
12860000 -4.51316 1087.1 0.919882
12870000 -4.51708 1087.09 0.919886
12880000 -4.60869 1087.09 0.919891
12890000 -4.58998 1087.08 0.919895
12900000 -4.62953 1087.08 0.9199
12910000 -4.68866 1087.07 0.919904
