# Time-averaged data for fix observables
# TimeStep v_temperature v_pressure v_potential v_volume v_rho c_Q6
287000 0.990154 7.38118 -6.65942 3799.79 1.0527 0.51119
288000 1.00223 7.4171 -6.65023 3801.35 1.05226 0.510043
289000 1.00375 7.36289 -6.65173 3803.66 1.05162 0.510337
290000 0.998353 7.33839 -6.64103 3807.57 1.05055 0.509784
291000 1.00614 7.39153 -6.64552 3804.35 1.05143 0.510038
292000 1.00175 7.40137 -6.65952 3799.41 1.0528 0.511283
293000 0.999534 7.27827 -6.6567 3806.57 1.05082 0.510351
294000 1.00255 7.32026 -6.64634 3807.5 1.05056 0.509798
295000 0.990074 7.37916 -6.66345 3798.91 1.05294 0.511268
296000 0.997001 7.36323 -6.65869 3801.55 1.05221 0.51085
297000 1.00579 7.27174 -6.65169 3808.79 1.05021 0.510511
298000 1.00138 7.29932 -6.64648 3808.76 1.05021 0.509716
299000 0.999665 7.34967 -6.65471 3803.48 1.05167 0.51084
300000 1.00357 7.2444 -6.66072 3807.48 1.05057 0.510162
301000 0.997767 7.28901 -6.64632 3808.82 1.0502 0.509528
302000 0.993086 7.30123 -6.65401 3805.81 1.05103 0.510353
303000 0.997956 7.28973 -6.66171 3804.44 1.05141 0.510197
304000 1.00163 7.29281 -6.64132 3810.51 1.04973 0.509212
305000 1.00128 7.25106 -6.64211 3812.35 1.04922 0.50921
306000 0.988673 7.27839 -6.66195 3804.62 1.05136 0.510765
307000 1.00563 7.26772 -6.64559 3810.87 1.04963 0.509803
308000 1.00191 7.22873 -6.64515 3812.85 1.04909 0.509436
309000 1.00891 7.19075 -6.64372 3816.05 1.04821 0.509183
310000 1.0009 7.27757 -6.63908 3812.01 1.04933 0.509308
311000 0.990212 7.26635 -6.65858 3806.11 1.05095 0.510395
312000 1.00312 7.15682 -6.64435 3817.16 1.0479 0.509129
313000 1.00108 7.25534 -6.6511 3809.79 1.04993 0.510289
314000 0.992714 7.18733 -6.6642 3809.11 1.05012 0.509974
315000 0.998489 7.18398 -6.65264 3812.79 1.0491 0.510053
316000 0.997411 7.22749 -6.64864 3811.87 1.04936 0.509624
317000 0.99921 7.17873 -6.64032 3816.81 1.048 0.508649
318000 0.999386 7.14541 -6.64553 3817.32 1.04786 0.50919
319000 1.00248 7.17256 -6.64771 3815.17 1.04845 0.509566
320000 0.996781 7.21267 -6.64185 3814.27 1.04869 0.50931
321000 1.00751 7.11879 -6.64529 3818.96 1.04741 0.509052
322000 1.00206 7.1539 -6.63695 3819.54 1.04725 0.508816
